row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain
25,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['the', 'role', 'of', 'a', 'prototype', 'program', 'is', 'to', 'help', 'spot', 'key', 'problem', 'that', 'may', 'arise', 'during', 'the', 'actual', 'programing']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.0,5,science
26,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['the', 'prototype', 'program', 'give', 'a', 'general', 'idea', 'of', 'what', 'the', 'end', 'product', 'will', 'do', 'without', 'the', 'time', 'and', 'effort', 'to', 'write', 'out', 'the', 'entire', 'program']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",3.0,5,science
27,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['to', 'show', 'that', 'a', 'certain', 'part', 'of', 'the', 'program', 'work', 'a', 'it', 'is', 'supposed', 'to']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",3.0,5,science
28,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['prototype', 'programming', 'is', 'an', 'approach', 'to', 'programming', 'that', 'enables', 'one', 'to', 'take', 'an', 'organized', 'approach', 'to', 'developing', 'an', 'effective', 'program', 'with', 'minimal', 'error', 'and', 'a', 'strategic', 'pattern', 'when', 'solving', 'a', 'problem', 'ie', 'book', 'gave', 'an', 'example', 'of', 'a', 'costumer', 'withdrawing', 'money', 'from', 'a', 'bank', 'the', 'approach', 'that', 'wa', 'taking', 'on', 'a', 'pseudo', 'code', 'level', 'during', 'the', 'ooadesign', 'lvl', 'before', 'proceeding', 'into', 'creating', 'a', 'solution']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.5,5,science
29,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['refining', 'and', 'possibly', 'the', 'design', 'if', 'the', 'testing', 'phase', 'reveals', 'problem', 'in', 'the', 'design', 'production', 'can', 'be', 'affected', 'if', 'the', 'program', 'is', 'unworkable', 'in', 'it', 'current', 'form', 'which', 'will', 'lead', 'to', 'a', 'later', 'production', 'time', 'than', 'originally', 'estimated', 'also', 'affect', 'coding', 'because', 'after', 'testing', 'you', 'may', 'need', 'to', 'rewrite', 'the', 'code', 'for', 'the', 'program', 'to', 'remove', 'error']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.5,5,science
30,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['the', 'implementation', 'phase', 'and', 'the', 'maintenance', 'phase', 'are', 'effected']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",4.0,5,science
31,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['verification', 'coding', 'refining', 'the', 'solution', 'and', 'maintenance', 'are', 'all', 'influenced', 'by', 'the', 'testing', 'stage']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",4.5,5,science
32,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['in', 'rup', 'the', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage', 'is', 'elaboration', 'phase', 'refined', 'progject', 'vision', 'iterative', 'devilopment', 'of', 'core', 'system', 'development', 'of', 'system', 'requirement', 'more', 'accurate', 'time', 'and', 'cost', 'estimate', 'construction', 'phase', 'iterative', 'development', 'of', 'remaining', 'system', 'transition', 'phasetesting', 'and', 'deployment', 'of', 'the', 'system']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.0,5,science
33,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['refining', 'the', 'solution', 'production', 'and', 'maintenance', 'are', 'all', 'influenced', 'by', 'the', 'testing', 'stage']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.0,5,science
34,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['elaboration', 'construction', 'and', 'transition', 'are', 'all', 'affected', 'by', 'testing']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",2.0,5,science
35,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['refining', 'production', 'maintenance']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.5,5,science
36,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['refining', 'the', 'solution']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",4.0,5,science
37,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,['name'],"['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",2.0,5,science
38,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['refining', 'and', 'coding']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",5.0,5,science
39,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['the', 'second', 'half', 'of', 'the', 'elaboration', 'phase', 'construction', 'phase', 'and', 'the', 'transition', 'phase']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",2.5,5,science
40,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['the', 'refining', 'step', 'the', 'production', 'step', 'and', 'the', 'maintenance', 'stage']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.5,5,science
41,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['elaboration', 'construction', 'transition']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",2.0,5,science
42,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,['refining'],"['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.0,5,science
43,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['the', 'testing', 'stage', 'ha', 'a', 'direct', 'influence', 'on', 'the', 'final', 'version', 'of', 'a', 'program', 'being', 'a', 'it', 'is', 'the', 'debugging', 'and', 'finalization', 'of', 'a', 'software', 'revision']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",1.5,5,science
44,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['directly', 'refining', 'coding', 'because', 'refining', 'is', 'right', 'before', 'the', 'testing', 'phase', 'and', 'coding', 'is', 'right', 'after', 'the', 'testing', 'phase', 'indirectly', 'production', 'maintenance', 'because', 'refining', 'occurs', 'before', 'these', 'last', 'two', 'stage', 'in', 'the', 'software', 'life', 'cycle']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",5.0,5,science
45,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['testing', 'refining', 'production', 'and', 'maintenance']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.5,5,science
46,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['depending', 'on', 'how', 'the', 'work', 'is', 'done', 'testing', 'is', 'spread', 'throughout', 'the', 'process', 'a', 'to', 'prevent', 'error', 'from', 'showing', 'up', 'later', 'on', 'due', 'to', 'lack', 'of', 'foresight']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",1.5,5,science
47,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['elaboration', 'construction', 'and', 'transition']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",2.5,5,science
48,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['all', 'stage', 'are', 'influenced', 'except', 'setting', 'the', 'program', 'requirement', 'if', 'a', 'test', 'fails', 'it', 'can', 'change', 'the', 'whole', 'design', 'implementation', 'etc', 'of', 'a', 'program', 'a', 'well', 'a', 'the', 'final', 'outcome']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",1.5,5,science
49,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['refining', 'production', 'and', 'maintenance']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.0,5,science
50,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['coding', 'and', 'refining']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",5.0,5,science
51,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['refining', 'production', 'maintenance']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.5,5,science
52,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['removing', 'logical', 'error', 'testing', 'for', 'valid', 'data', 'random', 'data', 'and', 'actual', 'data']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",1.0,5,science
53,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['1', 'specification', '2', 'design', '3', 'risk', 'analysis', '4', 'verification', '5', 'coding', '6', 'testing', '7', 'refining', '8', 'production', '9', 'maintenance']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",2.5,5,science
54,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['refining', 'stage', 'production', 'stage', 'and', 'maintenance', 'stage']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.5,5,science
55,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['testing', 'could', 'affect', 'all', 'part', 'of', 'the', 'life', 'cycle', 'it', 'could', 'make', 'you', 'go', 'back', 'to', 'specification', 'if', 'it', 'doe', 'not', 'test', 'well']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",2.0,5,science
56,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,['coding'],"['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",3.0,5,science
57,"['what', 'stage', 'in', 'the', 'software', 'life', 'cycle', 'are', 'influenced', 'by', 'the', 'testing', 'stage']",1.2,"['the', 'individual', 'component', 'and', 'step', 'such', 'a', 'analysis', 'design', 'and', 'implementing', 'code', 'a', 'well', 'a', 'the', 'entire', 'system', 'are', 'tested', 'for', 'execution', 'of', 'the', 'requirement', 'identified', 'during', 'the', 'analysis', 'stage', 'ie', 'main', 'output']","['the', 'testing', 'stage', 'can', 'influence', 'both', 'the', 'coding', 'stage', 'phase', '5', 'and', 'the', 'solution', 'refinement', 'stage', 'phase', '7']",1.5,5,science
58,"['what', 'are', 'the', 'main', 'advantage', 'associated', 'with', 'objectoriented', 'programming']",1.3,"['modularability', 'the', 'ability', 'to', 'reuse', 'part', 'of', 'the', 'program', 'later', 'in', 'another', 'program', 'sometimes', 'with', 'completely', 'different', 'goal', 'for', 'the', 'program', 'also', 'it', 'make', 'it', 'easier', 'to', 'debug', 'code', 'by', 'dividing', 'up', 'the', 'code', 'into', 'class', 'that', 'each', 'do', 'a', 'specific', 'job', 'and', 'when', 'the', 'program', 'fails', 'at', 'one', 'job', 'you', 'only', 'have', 'one', 'class', 'to', 'debug', 'good', 'for', 'security', 'purpose', 'because', 'it', 'allows', 'you', 'to', 'let', 'someone', 'use', 'a', 'program', 'which', 'sort', 'list', 'without', 'having', 'to', 'give', 'them', 'access', 'to', 'the', 'source', 'code', 'also', 'allows', 'you', 'to', 'use', 'inheritance', 'and', 'polymorphism']","['abstraction', 'and', 'reusability']",4.5,5,science
59,"['what', 'are', 'the', 'main', 'advantage', 'associated', 'with', 'objectoriented', 'programming']",1.3,"['this', 'type', 'of', 'programming', 'is', 'more', 'flexible', 'making', 'it', 'easier', 'to', 'add', 'and', 'modify', 'the', 'program', 'it', 'is', 'also', 'a', 'type', 'of', 'a', 'fail', 'safe', 'program', 'you', 'check', 'each', 'individual', 'module', 'this', 'eliminates', 'redundant', 'code', 'and', 'make', 'the', 'program', 'easier', 'to', 'read', 'for', 'other', 'programmer', 'when', 'debugging', 'the', 'program', 'it', 'is', 'easier', 'to', 'track', 'down', 'the', 'source', 'of', 'a', 'problem', 'within', 'a', 'module', 'rather', 'than', 'a', '2', 'million', 'line', 'program']","['abstraction', 'and', 'reusability']",5.0,5,science
60,"['what', 'are', 'the', 'main', 'advantage', 'associated', 'with', 'objectoriented', 'programming']",1.3,"['the', 'main', 'advantage', 'to', 'objectoriented', 'programming', 'are', 'that', 'existing', 'class', 'can', 'be', 'reused', 'and', 'program', 'maintenance', 'and', 'verification', 'are', 'easier']","['abstraction', 'and', 'reusability']",3.5,5,science
61,"['what', 'are', 'the', 'main', 'advantage', 'associated', 'with', 'objectoriented', 'programming']",1.3,"['the', 'advantage', 'is', 'that', 'oop', 'allows', 'u', 'to', 'build', 'class', 'of', 'object', 'three', 'principle', 'that', 'make', 'up', 'oop', 'are', 'encapsulation', 'object', 'combine', 'data', 'and', 'operation', 'inheritance', 'class', 'can', 'inherit', 'property', 'from', 'other', 'class', 'polymorphism', 'object', 'can', 'determine', 'appropriate', 'operation', 'at', 'execution', 'time']","['abstraction', 'and', 'reusability']",2.5,5,science
